,Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID
0,18606,Not Specified,0.01,2.88,0.5,2,Janice Fletcher,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 49,0.36,Central,Illinois,Addison,60101,2012-05-28,2012-05-30,1.32,2,5.9,88525
1,20847,High,0.01,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,West,Washington,Anacortes,98221,2010-07-07,2010-07-08,4.56,4,13.01,88522
2,23086,Not Specified,0.03,6.68,6.15,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1968,0.37,West,Washington,Anacortes,98221,2011-07-27,2011-07-28,-47.64,7,49.92,88523
3,23087,Not Specified,0.01,5.68,3.6,3,Bonnie Potter,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,0.56,West,Washington,Anacortes,98221,2011-07-27,2011-07-28,-30.51,7,41.64,88523
4,23088,Not Specified,0.0,205.99,2.5,3,Bonnie Potter,Express Air,Corporate,Technology,Telephones and Communication,Small Box,V70,0.59,West,Washington,Anacortes,98221,2011-07-27,2011-07-27,998.2022999999999,8,1446.67,88523
5,23597,Medium,0.09,55.48,14.3,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,Washington,Anacortes,98221,2011-11-09,2011-11-11,1388.0522999999998,37,2011.67,88524
6,25549,Low,0.08,120.97,26.3,3,Bonnie Potter,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,0.38,West,Washington,Anacortes,98221,2013-07-01,2013-07-08,1001.4452999999999,12,1451.37,88526
7,20228,Not Specified,0.02,500.98,26.0,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6,West,California,San Gabriel,91776,2010-12-13,2010-12-15,4390.3665,12,6362.85,90193
8,19483,Low,0.08,6.48,6.81,5,Ronnie Proctor,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1930,0.36,West,California,San Gabriel,91776,2012-05-12,2012-05-21,-141.26,18,113.25,90197
9,24782,High,0.01,90.24,0.99,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,0.56,West,California,San Jose,95123,2011-05-26,2011-05-26,1045.4673,16,1515.17,90194
10,24563,Critical,0.07,6.48,6.6,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 21,0.37,West,California,San Jose,95123,2012-12-29,2012-12-31,-13.86,4,28.61,90200
11,24564,Critical,0.01,4.84,0.71,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,0.52,West,California,San Jose,95123,2012-12-29,2012-12-31,57.5805,17,83.45,90200
12,24565,Critical,0.1,85.99,0.99,6,Dwight Hwang,Regular Air,Home Office,Technology,Telephones and Communication,Wrap Bag,Accessory34,0.55,West,California,San Jose,95123,2012-12-29,2012-12-31,1176.5051999999998,24,1705.08,90200
13,21866,High,0.05,12.28,4.86,7,Leon Gill,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1933,0.38,East,Massachusetts,Fall River,2724,2012-10-30,2012-10-31,72.9928,19,232.95,90198
14,20876,Medium,0.08,140.98,36.09,8,Melanie Garner,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",0.77,East,New Hampshire,Bedford,3110,2012-12-25,2012-12-26,-158.74,5,705.47,90199
15,20877,Medium,0.1,286.85,61.76,9,Lorraine Houston,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,0.78,East,New Jersey,Camden,8101,2012-12-25,2012-12-27,-346.6151975000001,8,1794.27,90199
16,22241,Critical,0.06,15.57,1.39,10,Meredith Norris Thomas,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,0.38,East,New Jersey,Pennsauken,8109,2011-10-04,2011-10-05,142.79549999999998,14,206.95,90195
17,21776,Critical,0.06,9.48,7.29,11,Marcus Dunlap,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,East,New Jersey,Roselle,7203,2010-08-15,2010-08-17,-53.8096,22,211.15,90192
18,23328,High,0.04,10.98,3.37,12,Kara Pace,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,0.57,East,Rhode Island,Cranston,2907,2012-02-24,2012-02-26,23.12,8,90.39,90196
19,24844,Medium,0.09,78.69,19.99,14,Gwendolyn F Tyson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,0.43,Central,Minnesota,Prior Lake,55372,2010-05-12,2010-05-14,803.4705,16,1164.45,86838
20,24846,Medium,0.08,3.28,2.31,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56,Central,Minnesota,Prior Lake,55372,2010-05-12,2010-05-13,-24.03,7,22.23,86838
21,24847,Medium,0.05,3.28,4.2,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,Central,Minnesota,Prior Lake,55372,2010-05-12,2010-05-13,-37.03,4,13.99,86838
22,24848,Medium,0.05,3.58,1.63,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36,Central,Minnesota,Prior Lake,55372,2010-05-12,2010-05-13,-0.71,4,14.26,86838
23,24845,Medium,0.01,6.48,7.86,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 213,0.37,Central,Minnesota,Prior Lake,55372,2013-05-12,2013-05-13,-44.54,4,29.55,86845
24,18181,Critical,0.0,4.42,4.99,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,East,New York,Smithtown,11787,2010-04-08,2010-04-09,-59.82,7,33.47,86837
25,20925,Medium,0.01,35.94,6.66,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4,East,New York,Smithtown,11787,2010-05-28,2010-05-28,261.87569999999994,10,379.53,86839
26,18263,Medium,0.03,1.76,0.7,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,0.56,East,New York,Smithtown,11787,2011-12-04,2011-12-06,-1.17,10,17.39,86840
27,18554,Medium,0.04,5.98,5.2,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1992,0.36,East,New York,Smithtown,11787,2012-04-29,2012-05-01,-24.03,3,19.04,86841
28,22781,Low,0.0,7.59,4.0,15,Timothy Reese,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",0.42,East,New York,Smithtown,11787,2013-01-19,2013-01-21,23.266799999999996,4,33.72,86842
29,23287,Low,0.07,4.13,6.89,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",0.39,East,New York,Smithtown,11787,2013-01-21,2013-01-23,-174.2696,9,38.18,86843
30,26267,High,0.04,2.98,1.58,16,Sarah Ramsey,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,0.39,East,New York,Syracuse,13210,2010-02-12,2010-02-15,2.63,6,18.8,86836
31,26268,High,0.05,115.99,2.5,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,0.55,East,New York,Syracuse,13210,2010-02-12,2010-02-14,652.7330999999999,10,945.99,86836
32,26266,High,0.08,14.27,7.27,16,Sarah Ramsey,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Laser Imprintable Binding System Covers, Desert Sand",0.38,East,New York,Syracuse,13210,2013-02-12,2013-02-15,3.4595000000000002,3,45.6,86844
33,19359,Low,0.05,5.85,2.27,17,Florence Hsu Schwarz,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,West,Montana,Great Falls,59405,2011-04-20,2011-04-24,-6.82,2,12.18,90033
34,20459,Critical,0.05,7.77,9.23,17,Florence Hsu Schwarz,Express Air,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,West,Montana,Great Falls,59405,2012-04-06,2012-04-08,-96.33,4,34.75,90034
35,23890,High,0.05,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,West,Montana,Helena,59601,2010-05-15,2010-05-16,314.4813,17,455.77,90031
36,21763,Critical,0.08,42.98,4.62,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,West,Montana,Helena,59601,2012-05-15,2012-05-16,446.07809999999995,15,646.49,90035
37,21764,Critical,0.07,8.04,8.94,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",0.4,West,Montana,Helena,59601,2012-05-15,2012-05-15,-117.1045,9,75.85,90035
38,24062,Not Specified,0.08,5.0,3.39,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,West,Montana,Helena,59601,2013-05-21,2013-05-22,-17.49,13,65.69,90038
39,20578,Low,0.02,110.98,30.0,18,Laurie Hanna,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,0.71,West,Montana,Helena,59601,2013-10-02,2013-10-04,126.31,22,2575.93,90039
